"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","participant_id","PID","start_time","rt","response","view_history","question_order","stimulus","task","player_num","trial_num","binned_trial_num","reward","prop_return","prop_return_noise","choice","survey_type","pattern_response","source_partner_0","source_name_0","target_name_0","correct_0","source_partner_2","source_name_2","target_name_2","correct_2","total_correct","total_questions","accuracy"
,,,,,"html-keyboard-response",13,405148,"0.0-5.2-2.2","5f2f8574ff256b37b1970220",,,3760," ",,,"<div class=""wrapTextBox""><p style=""font-family: Times New Roman, Times, serif; font-size: 18px; margin-bottom: 20px;""><strong>Comprehension Check Results</strong></p><p style=""font-family: Times New Roman, Times, serif; font-size: 18px; color: green;"">✓ What is the minimum and maximum you can share - Correct</p><p style=""font-family: Times New Roman, Times, serif; font-size: 18px; color: red;"">❌ If you share $1.00 and partner returns $0.50 - Incorrect</p><p style=""font-family: Times New Roman, Times, serif; font-size: 18px; color: green;"">✓ If you share $10.00 and partner returns half - Correct</p><p style=""font-family: Times New Roman, Times, serif; font-size: 18px; color: green;"">✓ How many trials determine your bonus payment - Correct</p><p style=""font-family: Times New Roman, Times, serif; color: red; font-weight: bold; margin-top: 20px; font-size: 18px;"">Some answers were incorrect. Please review the instructions and try again.</p></div>",,,,,,,,,,,,,,,,,,,,,
,,,,,"instructions",14,408362,"0.0-5.3-0.3","5f2f8574ff256b37b1970220",,,3213,,"[{""page_index"":0,""viewing_time"":1193},{""page_index"":1,""viewing_time"":512},{""page_index"":2,""viewing_time"":656},{""page_index"":3,""viewing_time"":852}]",,,,,,,,,,,,,,,,,,,,,,,
,,,,,"survey-multi-choice",15,425551,"0.0-5.3-1.3","5f2f8574ff256b37b1970220",,,17188,"{""min_max"":""<span style='font-family: Times New Roman, Times, serif; font-size: 18px;'>$1 minimum, $10 maximum</span>"",""scenario_1"":""<span style='font-family: Times New Roman, Times, serif; font-size: 18px;'>You: $9.50, Partner: $3.50</span>"",""scenario_2"":""<span style='font-family: Times New Roman, Times, serif; font-size: 18px;'>You: $20.00, Partner: $20.00</span>"",""trials_selected"":""<span style='font-family: Times New Roman, Times, serif; font-size: 18px;'>4 trials</span>""}",,"[0,1,2,3]",,,,,,,,,,,,,,,,,,,,,,
,,,,,"html-keyboard-response",16,428000,"0.0-5.3-2.3","5f2f8574ff256b37b1970220",,,2448," ",,,"<div class=""wrapTextBox""><p style=""font-family: Times New Roman, Times, serif; font-size: 18px; margin-bottom: 20px;""><strong>Comprehension Check Results</strong></p><p style=""font-family: Times New Roman, Times, serif; font-size: 18px; color: green;"">✓ What is the minimum and maximum you can share - Correct</p><p style=""font-family: Times New Roman, Times, serif; font-size: 18px; color: green;"">✓ If you share $1.00 and partner returns $0.50 - Correct</p><p style=""font-family: Times New Roman, Times, serif; font-size: 18px; color: green;"">✓ If you share $10.00 and partner returns half - Correct</p><p style=""font-family: Times New Roman, Times, serif; font-size: 18px; color: green;"">✓ How many trials determine your bonus payment - Correct</p><p style=""font-family: Times New Roman, Times, serif; color: green; font-weight: bold; margin-top: 20px; font-size: 18px;"">All answers are correct! You can now proceed to the experiment.</p></div>",,,,,,,,,,,,,,,,,,,,,
,,,,,"html-keyboard-response",17,430309,"0.0-6.0","5f2f8574ff256b37b1970220",,,2308," ",,,"[""<div class=\""gameHeader\"">\n        </div>\n    <div class=\""offerCard\"" style=\""height: auto; min-height: 90vh; overflow-y: auto; display: flex; justify-content: center;\"">\n        <div class=\""bidOffer\"" style=\""overflow-y: auto; display: flex; flex-direction: column; justify-content: center;\"">\n    <div class =\""wrapTextBox\"">\n        <p style=\""font-family: 'Times New Roman', Times, serif; font-size: 18px;\"">All participants are ready to begin the session.</p>\n        <p style=\""font-family: 'Times New Roman', Times, serif; font-size: 18px;\"">Four participants have been randomly matched as your partners for this experiment.</p>\n        <p style=\""font-family: 'Times New Roman', Times, serif; font-size: 18px;\""><strong>Press the spacebar to begin the game!</strong></p>\n    </div>\n    </div>\n    </div>""]",,,,,,,,,,,,,,,,,,,,,
,,,,,"html-keyboard-response",18,433832,"0.0-7.0","5f2f8574ff256b37b1970220",,,3522," ",,,"<div class=""gameHeader"">
        </div>
    <div class=""offerCard"">
        <div class=""bidOffer"">
            <div class=""instructionsText"">
        <div class =""wrapTextBox"">
            <p><strong>Practice Phase</strong></p>
            <p>Let's practice the task before starting the real experiment.</p>
            <p>You will complete 4 practice trials. These won't count toward your final payment.</p>
            <p>Press the spacebar to begin practice.</p>
        </div>
        </div>
        </div>
    </div>",,,,,,,,,,,,,,,,,,,,,
,,,,,"html-keyboard-response",19,437837,"0.0-8.0-0.0","5f2f8574ff256b37b1970220",,,,,,,"<div class=""gameHeader"">
        </div>
    <div class=""offerCard"" style=""height: auto; min-height: 90vh; overflow-y: auto; display: flex; justify-content: center;"">
        <div class=""bidOffer"" style=""overflow-y: auto; display: flex; flex-direction: column; justify-content: center;"">
        <div class=""offers"">
        <div class=""textPrompt""><p style=""font-family: 'Times New Roman', Times, serif; font-size: 18px;"">How much money do you want
        <br>to give Partner?</p></div>
            <div class =""trustElements"">
            <div class=""player1Card""><p class=""player1Image""><img src=""src/images/gray_guy.png"" width=""150""></p>
                <div class=""player1Name""><p style=""font-family: 'Times New Roman', Times, serif; font-size: 18px;"">Nisz06</p></div>
            </div>

                <div class=""investmentCard"">
                    <div id=""leftBlock"" class=""leftBlock"">
                        <p style=""font-family: 'Times New Roman', Times, serif; font-size: 18px;"">$1</p>
                        <p style=""font-family: 'Times New Roman', Times, serif; font-size: 18px; margin-top: 5px; color: #666;"">Press ""F"" key</p>
                    </div>
                    <div id=""rightBlock"" class=""rightBlock"">
                        <p style=""font-family: 'Times New Roman', Times, serif; font-size: 18px;"">$10</p>
                        <p style=""font-family: 'Times New Roman', Times, serif; font-size: 18px; margin-top: 5px; color: #666;"">Press ""J"" key</p>
                    </div>
                </div>

            <div class=""player2Card""><p class=""player2Image""><img src=src/images/blue_guy.png width=""150""></p>
                <div class=""player2Name""><p>Partner</p></div>
            </div>
            </div>
        </div>
        </div>
    </div>","practice_choice",0,1,1,,0,-0.0019335049357945859,,,,,,,,,,,,,,
,,,,,"html-keyboard-response",20,440802,"0.0-8.0-1.0","5f2f8574ff256b37b1970220",,,,,,,"<div class=""gameHeader"">
        </div>
    <div class=""offerCard"" style=""height: auto; min-height: 90vh; overflow-y: auto; display: flex; justify-content: center;"">
        <div class=""bidOffer"" style=""overflow-y: auto; display: flex; flex-direction: column; justify-content: center;""><div class=""outcomeText""><p style=""font-family: 'Times New Roman', Times, serif; font-size: 18px;""><strong>You did not respond in time!</strong></p></div></div>
    </div>",,,,,,,,,,,,,,,,,,,,,
,,,,,"html-keyboard-response",21,444805,"0.0-8.0-2.0","5f2f8574ff256b37b1970220",,,,,,,"<div class=""gameHeader"">
        </div>
    <div class=""offerCard"" style=""height: auto; min-height: 90vh; overflow-y: auto; display: flex; justify-content: center;"">
        <div class=""bidOffer"" style=""overflow-y: auto; display: flex; flex-direction: column; justify-content: center;""><div style=""display: flex; flex-direction: column; align-items: center; justify-content: center; width: 100%;"">
            <div class=""player2Card"" style=""margin-bottom: 20px;"">
                <p class=""player2Image""><img src=src/images/blue_guy.png width=""150""></p>
                <div class=""player2Name""><p>Partner</p></div>
            </div>

            <div style=""background-color: #f8f9fa; border-radius: 10px; padding: 15px; text-align: center; max-width: 400px;"">
                <p style=""font-family: 'Times New Roman', Times, serif; font-size: 18px; margin: 0; color: #d9534f;""><strong>You did not respond in time!</strong></p>
                <p style=""font-family: 'Times New Roman', Times, serif; font-size: 18px; margin: 10px 0 0 0;"">You earned <strong>$0.00</strong></p>
                <p style=""font-family: 'Times New Roman', Times, serif; font-size: 18px; margin: 5px 0 0 0;"">Partner earned <strong>$0.00</strong>.</p>
            </div>
        </div></div>
    </div>",,,,,,,,,,,,,,,,,,,,,
,,,,,"html-keyboard-response",22,447691,"0.0-8.0-3.0-0.0","5f2f8574ff256b37b1970220",,,,,,,"<div class=""gameHeader"">
        </div>
    <div class=""offerCard"" style=""height: auto; min-height: 90vh; overflow-y: auto; display: flex; justify-content: center;"">
        <div class=""bidOffer"" style=""overflow-y: auto; display: flex; flex-direction: column; justify-content: center;""><div class=""outcomeText""><p style=""font-family: 'Times New Roman', Times, serif; font-size: 18px;"">The next round will begin momentarily.</p>

    <p style=""font-family: 'Times New Roman', Times, serif; font-size: 18px;"">Please wait.</p></div></div>
    </div>",,,,,,,,,,,,,,,,,,,,,
